hol21,moriyamataito,chemistry_basic,3時間22分20秒
sho01,abe_yuka_0503,en_grammar_fundamental_plus,1時間49分32秒
sho01,abe_yuka_0503,en_grammar_fundamental,7時間3分52秒
kec02,sugitaminori,en_grammar_advanced,11時間37分11秒
kec02,sugitaminori,en_grammar_etc,3時間41分17秒
kec02,sugitaminori,en_grammar_fundamental_plus,1時間32分16秒
kec02,sugitaminori,en_grammar_fundamental,19時間40分52秒
kec02,sugitaminori,en_grammar_advanced_plus,8時間44分0秒
holon-tierra_u,SameshimaTomoya,math_a,16時間23分44秒
holon-tierra_ng,Kubotakaoru,en_grammar_fundamental_plus,0時間56分18秒
zup03,t158262,math_b,20時間34分36秒
holon-tierra_m,rinrinkorira,math_elementary,1時間29分12秒
holon-tierra_ng,shimadamomoka,math_1,20時間27分19秒
dot00,ikuminakamura,math_elementary,0時間10分6秒
pre01,sasakiyui,math_a,6時間33分5秒
dia07,tanaka03,math_elementary,2時間23分59秒
univer,univer07,physics_basic,7時間2分38秒
mky03,tokuyamaseiya,en_grammar_fundamental_plus,1時間16分29秒
mky03,tokuyamaseiya,en_grammar_fundamental,6時間59分23秒
mky06,MuramatsuYuta,math_elementary,0時間0分0秒
sun01,morisakikosei,en_grammar_fundamental_plus,1時間17分32秒
sun01,morisakikosei,en_grammar_fundamental,3時間46分53秒
dia06,ito001214,math_2,19時間2分46秒
dia06,ito001214,math_a,7時間37分49秒
zen09,tsumura,en_grammar_fundamental,15時間47分33秒
hol32,shiinaonomichi,math_2,49時間25分31秒
hol32,shiinaonomichi,math_b,50時間13分8秒
univer,kaito0801,math_1,6時間57分56秒
holon-tierra_ng,ibataiga,math_a,12時間21分20秒
holon-tierra_k,Takumi-Hara,math_a,8時間44分5秒
zen13,mrkwtds021108,math_1,14時間29分48秒
mky03,tokuyamaseiya,math_2,12時間26分48秒
mky03,tokuyamaseiya,math_b,11時間41分36秒
mky03,tokuyamaseiya,math_a,2時間30分23秒
holon-tierra_ng,hirokadoshita,math_1,41時間24分16秒
holon-tierra_ng,hirokadoshita,math_a,51時間21分30秒
kec03,ikoma,en_grammar_advanced,3時間57分7秒
kec03,ikoma,en_grammar_fundamental_plus,0時間12分43秒
kec03,ikoma,en_grammar_fundamental,1時間28分18秒
kec03,hana87,math_1,24時間3分60秒
kec03,hana87,math_a,18時間42分35秒
hol32,kawanomiyu,math_1,9時間24分29秒
hol32,kawanomiyu,math_a,8時間56分5秒
was02,tanouesaki,en_grammar_fundamental,8時間54分10秒
isa01,kamahori,en_grammar_advanced,5時間57分57秒
isa01,kamahori,en_grammar_etc,1時間20分38秒
isa01,kamahori,en_grammar_fundamental_plus,0時間34分57秒
isa01,kamahori,en_grammar_fundamental,2時間21分47秒
